date,Open,High,Low,Close,Volume
2022-12-07,1271.36,1277.49,1215.0,1231.56,5752205180.0
2022-12-08,1231.49,1292.58,1221.72,1280.33,6227269815.0
2022-12-09,1280.15,1296.55,1255.61,1262.95,5706183865.0
2022-12-10,1262.75,1283.4,1259.59,1266.45,3282499999.0
2022-12-11,1266.45,1284.68,1255.7,1262.92,3362005848.0
2022-12-12,1263.08,1279.22,1240.0,1275.72,5151109364.0
2022-12-13,1275.74,1351.05,1255.67,1320.47,8812883119.0
2022-12-14,1320.47,1351.87,1300.85,1307.47,7830915428.0
2022-12-15,1307.42,1311.5,1259.37,1266.48,6032859783.0
2022-12-16,1266.48,1279.99,1155.55,1166.98,9297811507.0
2022-12-17,1166.98,1190.0,1161.83,1187.06,5077258586.0
2022-12-18,1187.17,1196.6,1172.43,1183.32,3350092519.0
2022-12-19,1183.37,1195.34,1150.34,1167.6,4943628091.0
2022-12-20,1167.59,1231.28,1163.02,1216.69,6684951715.0
2022-12-21,1216.76,1222.99,1203.06,1213.7,4217182733.0
2022-12-22,1213.7,1238.76,1182.43,1217.5,5297471739.0
2022-12-23,1217.48,1231.7,1210.6,1219.92,4835831923.0
2022-12-24,1219.99,1227.47,1213.7,1220.51,2626153345.0
2022-12-25,1220.49,1224.1,1193.17,1218.37,3942720070.0
2022-12-26,1218.41,1230.92,1209.0,1227.58,3282098400.0
2022-12-27,1227.66,1233.75,1199.58,1210.99,4091530737.0
2022-12-28,1211.06,1215.38,1180.04,1189.24,4991669631.0
2022-12-29,1189.33,1206.07,1186.13,1199.74,4132233940.0
2022-12-30,1199.73,1201.64,1180.44,1199.1,4055668253.0
2022-12-31,1199.19,1208.0,1191.01,1195.25,3018513333.0
2023-01-01,1195.25,1204.17,1190.03,1199.92,2399674550.0
2023-01-02,1199.97,1224.59,1192.41,1213.69,3765758498.0
2023-01-03,1213.77,1219.79,1204.04,1214.21,3392972131.0
2023-01-04,1214.21,1272.01,1212.17,1256.34,6404416893.0
2023-01-05,1256.35,1259.77,1239.97,1250.88,4001786456.0
2023-01-06,1250.87,1276.6,1234.2,1268.84,4977252792.0
2023-01-07,1268.94,1270.83,1260.75,1263.94,2565213548.0
2023-01-08,1263.84,1295.38,1257.34,1289.92,3495088905.0
2023-01-09,1289.73,1345.87,1285.0,1320.02,7990438824.0
2023-01-10,1320.0,1348.19,1316.63,1335.56,5830173253.0
2023-01-11,1335.69,1397.98,1319.81,1389.24,6314904311.0
2023-01-12,1389.21,1438.55,1361.39,1416.05,12230193038.0
2023-01-13,1416.05,1466.0,1400.75,1451.78,7684148212.0
2023-01-14,1451.7,1597.99,1449.38,1550.06,15444626014.0
2023-01-15,1550.06,1567.37,1516.06,1552.89,6774614499.0
2023-01-16,1552.83,1603.91,1521.01,1576.85,8454485431.0
2023-01-17,1577.01,1608.65,1540.49,1565.68,7599462786.0
2023-01-18,1565.52,1612.66,1500.32,1510.83,10354880595.0
2023-01-19,1510.9,1564.61,1508.87,1550.98,6432638856.0
2023-01-20,1550.96,1668.0,1541.94,1658.25,8528894754.0
2023-01-21,1658.36,1680.0,1617.29,1626.8,8859250310.0
2023-01-22,1626.83,1664.42,1603.39,1627.88,7517988734.0
2023-01-23,1628.01,1648.56,1584.43,1626.55,8264507375.0
2023-01-24,1626.71,1641.72,1528.95,1556.09,8180274691.0
2023-01-25,1556.1,1640.92,1513.77,1612.54,10598973448.0
2023-01-26,1612.64,1633.55,1577.61,1601.1,8395315241.0
2023-01-27,1601.14,1622.32,1550.0,1598.18,8124465373.0
2023-01-28,1598.14,1606.99,1556.21,1572.3,5803653357.0
2023-01-29,1572.4,1661.0,1566.61,1644.89,8801292300.0
2023-01-30,1644.79,1647.73,1534.71,1566.23,9180418120.0
2023-01-31,1566.23,1605.01,1561.43,1585.39,6585191019.0
2023-02-01,1585.32,1647.75,1556.83,1642.05,8116969489.0
2023-02-02,1642.06,1714.83,1625.86,1643.19,10558081069.0
2023-02-03,1643.14,1676.53,1625.0,1663.69,8169519805.0
2023-02-04,1663.63,1695.0,1645.33,1666.83,5843302512.0
2023-02-05,1666.83,1673.81,1608.91,1629.37,6926696531.0
2023-02-06,1629.44,1658.41,1605.0,1614.5,6919871886.0
2023-02-07,1614.57,1678.57,1613.26,1671.28,8030277434.0
2023-02-08,1671.27,1699.66,1630.33,1650.65,7806089579.0
2023-02-09,1650.65,1656.02,1524.31,1545.54,10524969124.0
2023-02-10,1545.64,1554.89,1491.44,1513.04,8397387897.0
2023-02-11,1513.04,1543.61,1505.05,1538.86,5064007416.0
2023-02-12,1538.85,1548.2,1493.77,1515.25,5319698775.0
2023-02-13,1515.24,1526.64,1462.0,1506.29,9363855114.0
2023-02-14,1506.29,1569.16,1490.23,1556.67,9249575045.0
2023-02-15,1556.52,1682.45,1540.85,1674.88,10015035156.0
2023-02-16,1674.8,1742.5,1633.63,1637.83,12704861676.0
2023-02-17,1637.88,1722.07,1630.2,1694.37,9802443159.0
2023-02-18,1694.32,1713.75,1680.14,1691.82,5491437195.0
2023-02-19,1691.81,1727.0,1666.67,1680.23,6959144003.0
2023-02-20,1680.42,1720.02,1650.72,1703.63,7703604237.0
2023-02-21,1703.62,1716.82,1636.42,1659.76,8721608198.0
2023-02-22,1659.76,1667.14,1594.84,1642.95,9189387004.0
2023-02-23,1642.99,1679.03,1629.3,1650.62,9013236167.0
2023-02-24,1650.62,1664.65,1575.44,1607.57,8909129423.0
2023-02-25,1607.64,1609.05,1557.89,1594.51,5657686235.0
2023-02-26,1594.5,1651.6,1587.64,1641.41,5727967432.0
2023-02-27,1641.34,1665.29,1608.23,1633.26,7239824677.0
2023-02-28,1633.22,1647.6,1597.32,1605.4,6323676957.0
2023-03-01,1605.59,1669.9,1595.0,1665.2,7701847224.0
2023-03-02,1665.2,1678.14,1619.0,1647.87,7080950926.0
2023-03-03,1647.82,1649.28,1547.54,1569.54,9922240199.0
2023-03-04,1569.55,1577.6,1550.0,1566.72,4389045367.0
2023-03-05,1566.72,1588.35,1553.5,1564.81,5020886238.0
2023-03-06,1564.8,1583.19,1554.8,1565.85,5245153345.0
2023-03-07,1565.82,1584.23,1535.7,1561.67,6854058349.0
2023-03-08,1561.61,1570.77,1522.73,1532.17,7130327525.0
2023-03-09,1532.11,1546.09,1407.0,1437.41,9457897583.0
2023-03-10,1437.39,1438.7,1369.79,1432.15,12665194936.0
2023-03-11,1432.15,1499.0,1416.98,1483.68,14917080154.0
2023-03-12,1483.62,1612.0,1459.79,1592.31,11480965122.0
2023-03-13,1592.04,1702.6,1571.0,1681.93,15711468959.0
2023-03-14,1681.93,1787.74,1650.45,1704.95,16159781303.0
2023-03-15,1704.9,1722.79,1613.7,1656.8,12715339905.0
2023-03-16,1656.7,1696.0,1637.72,1677.24,9364980166.0
2023-03-17,1677.36,1803.73,1666.16,1793.66,12467445117.0
2023-03-18,1793.61,1846.0,1752.52,1763.68,10317822213.0
2023-03-19,1763.88,1846.77,1762.62,1786.4,9170565472.0
2023-03-20,1786.37,1809.1,1728.52,1739.42,10978325507.0
2023-03-21,1739.28,1839.99,1724.37,1807.23,10758627746.0
2023-03-22,1806.79,1823.8,1715.17,1739.18,12484103560.0
2023-03-23,1738.99,1861.67,1733.77,1817.49,11012966854.0
2023-03-24,1817.27,1822.55,1728.27,1751.93,10913669383.0
2023-03-25,1751.79,1764.93,1715.23,1743.8,6614309912.0
2023-03-26,1743.69,1801.02,1741.01,1775.86,6990313307.0
2023-03-27,1775.85,1782.19,1688.0,1716.42,8585750760.0
2023-03-28,1716.13,1795.54,1701.81,1773.7,8346890042.0
2023-03-29,1773.82,1827.7,1772.99,1793.41,9136176952.0
2023-03-30,1793.4,1829.82,1762.94,1793.68,9724496987.0
2023-03-31,1793.68,1847.12,1779.47,1822.01,9149379763.0
2023-04-01,1822.11,1843.0,1809.12,1821.73,5556443606.0
2023-04-02,1821.69,1825.97,1773.25,1795.37,6199721188.0
2023-04-03,1795.41,1839.99,1763.58,1810.92,9643826401.0
2023-04-04,1810.91,1892.1,1802.76,1871.36,10398322335.0
2023-04-05,1871.19,1943.64,1865.24,1908.9,10319231689.0
2023-04-06,1908.89,1910.59,1854.06,1873.29,8263191830.0
2023-04-07,1873.28,1883.35,1842.25,1865.02,8356130492.0
2023-04-08,1865.02,1880.56,1848.21,1850.06,5016362733.0
2023-04-09,1849.83,1874.78,1823.11,1859.84,6361497715.0
2023-04-10,1859.85,1920.0,1847.5,1911.23,8380134275.0
2023-04-11,1911.22,1938.85,1883.24,1891.82,8877222956.0
2023-04-12,1891.78,1934.08,1855.79,1918.91,11010714187.0
2023-04-13,1918.9,2025.0,1901.12,2013.98,12546950499.0
2023-04-14,2014.12,2131.2,2011.2,2101.85,16298099411.0
